Type	INode   	Name                	Size(bytes)	Block	B-Size	Depth	Offset	Mode 	UID  	GID  	Path
dir	11141202	74                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/74	
file	11141203	784c23c1863924573c1a5690b463325292048e	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/74/784c23c1863924573c1a5690b463325292048e	
dir	11141238	85                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/85	
file	11141239	53e89fc074123bf98e13c417744a5329d3363c	178     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/85/53e89fc074123bf98e13c417744a5329d3363c	
dir	11141123	96                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/96	
file	11141124	721d3f5270401f35a83d7559e843a77b4f42ea	140     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/96/721d3f5270401f35a83d7559e843a77b4f42ea	
dir	11141170	c2                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/c2	
file	11141171	e31d76413a569240d0e1ad3b2f81239260f008	171     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/c2/e31d76413a569240d0e1ad3b2f81239260f008	
file	11141195	fe1ee85a231193812a8e8d9322ef0098eba178	834     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/c2/fe1ee85a231193812a8e8d9322ef0098eba178	
dir	11141129	b4                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/b4	
file	11141130	6b54a9ab8cb7bfb75d0715698d96febebca940	47415   	96   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/b4/6b54a9ab8cb7bfb75d0715698d96febebca940	
dir	11141230	9c                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/9c	
file	11141231	638a16ea0fdac4472c2dc8d20cc52a4432ea99	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/9c/638a16ea0fdac4472c2dc8d20cc52a4432ea99	
dir	11141226	fd                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/fd	
file	11141227	7b6948de352561674731e9f2b898a62072c0aa	187     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/fd/7b6948de352561674731e9f2b898a62072c0aa	
dir	11141222	26                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/26	
file	11141229	a3309722ab5e6895a03c815a34ffda18a45ab6	3344    	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/26/a3309722ab5e6895a03c815a34ffda18a45ab6	
dir	11141269	02                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/02	
file	11141273	2f25fc843f723b3fa0a25c6f9f2f05c783199d	24629   	56   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/02/2f25fc843f723b3fa0a25c6f9f2f05c783199d	
file	11141270	b5343a364279c10f07792b9209aec8243d181e	441     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/02/b5343a364279c10f07792b9209aec8243d181e	
dir	11141252	8a                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/8a	
file	11141261	0559deabba26765ebc0bff69f723819cd2ed1b	4591    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/8a/0559deabba26765ebc0bff69f723819cd2ed1b	
dir	11141299	6a                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/6a	
file	11141300	1fef77def139f9ad8f1178d3d196d5b350a70e	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/6a/1fef77def139f9ad8f1178d3d196d5b350a70e	
dir	11141127	af                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/af	
file	11141128	5e593289b99824ea7563400f9d8cbb0689883d	305     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/af/5e593289b99824ea7563400f9d8cbb0689883d	
dir	11016817	9d                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/9d	
file	11016818	8228f2d02eef8c30036bca5669ab883b4e7ee3	4751    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/9d/8228f2d02eef8c30036bca5669ab883b4e7ee3	
dir	11141198	f3                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/f3	
file	11141199	e6131d4954cc84ab65080cf6f970cac8d4aa0d	171     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/f3/e6131d4954cc84ab65080cf6f970cac8d4aa0d	
dir	11141168	6e                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/6e	
file	11141169	9bafee9f916a766dd5937d96da9f40384739f7	362     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/6e/9bafee9f916a766dd5937d96da9f40384739f7	
dir	11141289	4c                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/4c	
file	11141290	4587a275c13a4fbd5c78ce220e84e441b62367	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/4c/4587a275c13a4fbd5c78ce220e84e441b62367	
dir	11141291	b3                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/b3	
file	11141292	bfdb959d3faea1d5665c11c160d4983c49b22d	161     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/b3/bfdb959d3faea1d5665c11c160d4983c49b22d	
dir	11141154	06                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/06	
file	11141221	6215c68dde9f8cf710a0b05687ab3c9df18bd7	174     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/06/6215c68dde9f8cf710a0b05687ab3c9df18bd7	
file	11141155	c5900b5ec8ab9de5d43a08a90a879be6cb79c3	744     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/06/c5900b5ec8ab9de5d43a08a90a879be6cb79c3	
dir	11012880	db                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/db	
